"Ltot","mII/mI"
100.,0.1
125.89254117941661,0.1111111111111111
158.48931924611142,0.125
199.5262314968879,0.1
251.1886431509582,0.125
316.2277660168379,0.1111111111111111
398.1071705534969,0.125
501.18723362727246,0.1111111111111111
630.957344480193,0.1111111111111111
794.3282347242822,0.1111111111111111
1000.,0.125
1258.9254117941662,0.1
1584.8931924611143,0.1111111111111111
1995.2623149688789,0.1111111111111111
2511.8864315095825,0.1111111111111111
3162.2776601683795,0.11107205623901582
3981.0717055349696,0.1111111111111111
5011.872336272725,0.1111111111111111
6309.57344480193,0.11095456146530469
7943.282347242822,0.1
10000.,0.1
