"Ltot","mII/mI"
100.,0.3333333333333333
125.89254117941661,0.2
158.48931924611142,0.14285714285714285
199.5262314968879,0.2
251.1886431509582,0.16666666666666666
316.2277660168379,0.16666666666666666
398.1071705534969,0.16666666666666666
501.18723362727246,0.16666666666666666
630.957344480193,0.16666666666666666
794.3282347242822,0.16666666666666666
1000.,0.16666666666666666
1258.9254117941662,0.16666666666666666
1584.8931924611143,0.16666666666666666
1995.2623149688789,0.2
2511.8864315095825,0.16666666666666666
3162.2776601683795,0.2
3981.0717055349696,0.16666666666666666
5011.872336272725,0.16666666666666666
6309.57344480193,0.16666666666666666
7943.282347242822,nan
10000.,nan
