"Ltot","ntot"
100.,44
125.89254117941661,60
158.48931924611142,80
199.5262314968879,120
251.1886431509582,161
316.2277660168379,217
398.1071705534969,287
501.18723362727246,385
630.957344480193,518
794.3282347242822,693
1000.,917
1258.9254117941662,1218
1584.8931924611143,1568
1995.2623149688789,1986
2511.8864315095825,2492
3162.2776601683795,3126
3981.0717055349696,3962
5011.872336272725,4662
6309.57344480193,5138
7943.282347242822,nan
10000.,nan
