"Ltot","mII"
100.,1
125.89254117941661,1
158.48931924611142,1
199.5262314968879,2
251.1886431509582,3
316.2277660168379,4
398.1071705534969,5
501.18723362727246,7
630.957344480193,10
794.3282347242822,13
1000.,15
1258.9254117941662,21
1584.8931924611143,31
1995.2623149688789,46
2511.8864315095825,59
3162.2776601683795,85
3981.0717055349696,121
5011.872336272725,170
6309.57344480193,242
7943.282347242822,342
10000.,521
