"Ltot","mII"
100.,1
125.89254117941661,1
158.48931924611142,2
199.5262314968879,2
251.1886431509582,3
316.2277660168379,5
398.1071705534969,7
501.18723362727246,10
630.957344480193,14
794.3282347242822,20
1000.,25
1258.9254117941662,37
1584.8931924611143,58
1995.2623149688789,86
2511.8864315095825,118
3162.2776601683795,180
3981.0717055349696,257
5011.872336272725,369
6309.57344480193,584
7943.282347242822,882
10000.,1021
