"Ltot","L0"
100.,3.8461538461538463
125.89254117941661,3.7027217993946064
158.48931924611142,3.6020299828661684
199.5262314968879,3.5629684195872837
251.1886431509582,3.3944411236615974
316.2277660168379,3.2940392293420615
398.1071705534969,3.2105416980120722
501.18723362727246,3.1324202101704532
630.957344480193,3.0045587832390144
794.3282347242822,2.9203243923686846
1000.,2.808988764044944
1258.9254117941662,2.71320131852191
1584.8931924611143,2.606732224442622
1995.2623149688789,2.5066109484533654
2511.8864315095825,2.394553318884254
3162.2776601683795,2.2964979376676684
3981.0717055349696,2.214166688284188
5011.872336272725,1.9562343232914619
6309.57344480193,1.6924821472108182
7943.282347242822,1.5776131772081077
10000.,1.4386419220256077
