"Ltot","L0"
100.,3.8461538461538463
125.89254117941661,3.7027217993946064
158.48931924611142,3.6020299828661684
199.5262314968879,3.4401074396015154
251.1886431509582,3.3051137256705028
316.2277660168379,3.2268139389473256
398.1071705534969,3.0623628504115152
501.18723362727246,2.948160197807485
630.957344480193,2.8421502003612296
794.3282347242822,2.7390628783595936
1000.,2.6178010471204187
1258.9254117941662,2.4978678805439802
1584.8931924611143,2.386887338043847
1995.2623149688789,2.2673435397373622
2511.8864315095825,1.9999095792273744
3162.2776601683795,1.7538977593834606
3981.0717055349696,1.63695382628905
5011.872336272725,1.5440148910267175
6309.57344480193,1.5434377311159322
7943.282347242822,1.314677647673423
10000.,1.2232415902140672
