"Ltot","ntot"
100.,35
125.89254117941661,47
158.48931924611142,63
199.5262314968879,80
251.1886431509582,102
316.2277660168379,136
398.1071705534969,180
501.18723362727246,238
630.957344480193,310
794.3282347242822,403
1000.,585
1258.9254117941662,756
1584.8931924611143,992
1995.2623149688789,1242
2511.8864315095825,1652
3162.2776601683795,2125
3981.0717055349696,2783
5011.872336272725,3570
6309.57344480193,4598
7943.282347242822,6156
10000.,7815
