b0,b1,b2,loss_prob,depolar_prob,success_prob,success_prob_error,reencoding_error_prob,reencoding_error_prob_error,fidelity_to_depolar_channel,computation_time,L_0[km]
4,11,4,0.0774788716783221,0.000167,0.999926,8.602006975119238e-06,0.0001800133209843,1.5492033977152397e-05,1.0,375087.4396790583,1.612899999999999
4,11,4,0.0852230372706271,3.33e-05,0.999893,1.0343527009680974e-05,3.200342436548986e-05,6.532593242368617e-06,1.0,387421.3387877811,1.7814999999999968
4,12,4,0.0894395591729177,0.000333,0.999846,1.2408718064328804e-05,0.0003320511358744,2.1040265315868517e-05,1.0,422296.6807090102,1.8738999999999975
4,12,4,0.0900266812900136,0.000333,0.999808,1.3855076181674342e-05,0.0003760722058623,2.239161546934767e-05,1.0,422575.847997572,1.886799999999997
4,12,4,0.0929883641429932,0.000167,0.999828,1.3113749120674844e-05,0.0001920330296805,1.600160003553878e-05,1.0,426294.7962138818,1.9519999999999964
4,12,4,0.0898674220244601,0.000167,0.999844,1.2489021739111511e-05,0.0001733603775517,1.5203722443685145e-05,1.0,427169.4177925626,1.8832999999999978
4,12,4,0.0898674220244601,0.0001,0.999853,1.212346448008984e-05,0.000110682937058,1.2148526410337698e-05,1.0,429844.9366442468,1.8832999999999978
4,12,4,0.0854791389642811,3.33e-05,0.99987,1.1401013112877296e-05,3.067065385131684e-05,6.395199860998315e-06,1.0,437608.8408279992,1.7870999999999981
4,12,4,0.0854791389642811,0.0001,0.999877,1.10898544174394e-05,0.0001026792962197,1.1700941220035464e-05,1.0,429305.56305009057,1.7870999999999981
4,12,5,0.0730679341737444,0.000167,0.999962,6.164296877990224e-06,0.0001600060802311,1.4605613464427005e-05,1.0,524590.6705392231,1.5174999999999963
4,12,5,0.0729706011969408,0.000167,0.99998,4.472091233416421e-06,0.0001653366400642,1.4846747985181109e-05,1.0,525450.0796539336,1.515399999999997
4,12,5,0.0729706011969408,0.0001,0.999972,5.291428540573892e-06,9.600268807474777e-05,1.1313617968045423e-05,1.0,529697.0856181348,1.515399999999997
4,12,5,0.0729196131778491,0.000167,0.999975,4.999937499609377e-06,0.0001560039000969,1.4421721900131134e-05,1.0,525921.3650537755,1.5143000000000013
4,12,5,0.0730447605824301,0.000167,0.999971,5.385086721678681e-06,0.0001853387081551,1.5719131424671923e-05,1.0,527927.4601083668,1.5169999999999992
4,12,5,0.0730447605824301,0.0001,0.999978,4.690364164966294e-06,6.933485869975442e-05,9.614764932427556e-06,1.0,529992.9108419095,1.5169999999999992
4,12,5,0.0694597988333094,0.0001,0.999979,4.582527577658425e-06,0.0001120023520484,1.2219945202029426e-05,1.0,528898.5690237985,1.4397999999999997
4,12,5,0.0658422894228113,0.0001,0.999981,4.358857533804014e-06,9.866854136797444e-05,1.146956054707901e-05,1.0,529189.5807719363,1.3622
4,12,5,0.0693806995545385,0.0001,0.999976,4.898920697459796e-06,0.0001013357653913,1.1623567760980964e-05,1.0,529640.4346308564,1.438099999999999
4,12,5,0.063962744114312,0.0001,0.999979,4.582527577658424e-06,0.000106668906713,1.1925469267459155e-05,1.0,530020.6312925385,1.322
4,12,5,0.0691619783201954,0.0001,0.999969,5.567678061813563e-06,0.0001040032240993,1.1775586923539834e-05,1.0,530253.7622072552,1.4334000000000005
4,12,5,0.0651788019381164,0.0001,0.999981,4.35885753380401e-06,0.000106668693371,1.1925445417021595e-05,1.0,530335.3886173945,1.3479999999999992
4,12,5,0.0650619419847637,0.0001,0.999981,4.358857533804014e-06,7.733480269345172e-05,1.015426258571556e-05,1.0,530840.2264069763,1.3454999999999973
4,12,5,0.0693248607213635,0.0001,0.999963,6.082649998150483e-06,0.0001080039961467,1.199995797061961e-05,1.0,531265.0110375099,1.436899999999997
4,12,5,0.0664913034731558,0.0001,0.999984,3.999967999871999e-06,8.666805335488803e-05,1.0749499613955343e-05,1.0,531816.1843536501,1.3760999999999997
4,12,5,0.0731003762283092,3.33e-05,0.999964,5.999891999027984e-06,2.6667626700671576e-05,5.96300297718235e-06,1.0,536019.2122050568,1.518200000000001
4,12,5,0.0731003762283092,0.0001,0.999969,5.567678061813561e-06,8.266922941135846e-05,1.0498677150213975e-05,1.0,531885.4580315044,1.518200000000001
4,12,5,0.0729613308566012,3.33e-05,0.999968,5.6567637391002926e-06,3.866790403916909e-05,7.180345396625827e-06,1.0,539613.9576762156,1.5151999999999983
4,12,5,0.0729613308566012,0.0001,0.999967,5.744467860472369e-06,9.2003036099797e-05,1.1075481850892308e-05,1.0,532971.1331771023,1.5151999999999983
4,12,5,0.0693295140854265,3.33e-05,0.999973,5.196082274175417e-06,3.466760269121849e-05,6.798787866096926e-06,1.0,537035.7914072673,1.4369999999999994
4,12,5,0.0693295140854265,0.0001,0.999963,6.082649998150482e-06,0.0001160042921579,1.2436424532055852e-05,1.0,533293.3099853224,1.4369999999999994
4,12,5,0.0572790901353078,3.33e-05,0.99999,3.1622618487405523e-06,4.000040000362581e-05,7.302930916282801e-06,1.0,535053.8802148262,1.1796999999999978
4,12,5,0.0690223421444921,3.33e-05,0.999973,5.19608227417542e-06,3.866771069449548e-05,7.180309494450087e-06,1.0,535318.0283649403,1.4304000000000003
