b0,b1,b2,loss_prob,depolar_prob,success_prob,success_prob_error,reencoding_error_prob,reencoding_error_prob_error,fidelity_to_depolar_channel,computation_time,L_0[km]
5,11,4,0.0773081894819662,0.000167,0.999947,7.279916963812151e-06,0.0001600084804485,1.460583254709305e-05,1.0,503802.2049701582,1.6091999999999969
5,11,4,0.0814371960336253,0.000167,0.999945,7.415994538832936e-06,0.000161342207154,1.4666585919906504e-05,1.0,506158.151680205,1.698900000000001
5,11,4,0.0749569481386758,0.000167,0.99996,6.32442882796541e-06,0.0001760070402812,1.5318435344676776e-05,1.0,506629.2704887949,1.5582999999999991
5,11,4,0.074896818386109,0.000167,0.999951,6.999828497899079e-06,0.0001693416310721,1.5025685596109996e-05,1.0,507066.6473620022,1.5569999999999973
5,11,4,0.0769482694960289,0.000167,0.999953,6.8554934906248746e-06,0.0001546739363413,1.4360281450123664e-05,1.0,507259.7638681112,1.6013999999999964
5,11,4,0.0751974280684142,0.000167,0.999962,6.1642968779902256e-06,0.0001893405282733,1.588797596038823e-05,1.0,508636.3450850281,1.5635000000000001
5,11,4,0.076371181843358,0.000167,0.999951,6.999828497899078e-06,0.000172008428412,1.5143520769712756e-05,1.0,509838.9666530497,1.5889000000000009
5,11,4,0.0745220757172873,0.000167,0.999966,5.830852767820502e-06,0.0001706724695298,1.5084492037859714e-05,1.0,510438.5359061365,1.5489000000000006
5,11,4,0.0742443906893308,0.000167,0.999962,6.164296877990225e-06,0.0001760066882547,1.5318404708664298e-05,1.0,510987.78950513154,1.5428999999999964
5,11,4,0.0689385503847124,0.0001,0.999982,4.2426025031812745e-06,0.0001106686587015,1.2146959287266266e-05,1.0,514796.43656304176,1.428599999999999
5,11,4,0.06625322840226,0.0001,0.999981,4.358857533804016e-06,0.00011600220404,1.2436200681899884e-05,1.0,515299.39705168526,1.371
5,11,4,0.0680443022226422,0.0001,0.999972,5.29142854057389e-06,8.40023520649602e-05,1.0582968188117011e-05,1.0,516251.85575679457,1.4093999999999998
5,11,4,0.0671025514638106,0.0001,0.999975,4.9999374996093775e-06,0.0001280032000789,1.3063644785860851e-05,1.0,518626.93353278935,1.389200000000001
