"Ltot","cost"
100.,54660.583795574814
104.71285480508986,56104.80581961629
109.64781961431851,57575.5573931226
114.81536214968817,59136.70759901866
120.22644346174131,60785.5741139595
125.89254117941661,62527.66486983193
131.82567385564076,64376.57660740836
138.03842646028838,66352.9955631023
144.54397707459282,68780.00924329691
151.35612484362073,71188.12631449962
158.48931924611142,73131.4674176857
165.95869074375597,74765.21700411291
173.78008287493762,76469.17857317314
181.97008586099827,78267.28543734131
190.54607179632484,80153.46164173532
199.5262314968879,82142.35388725332
208.9296130854041,84233.59931453013
218.77616239495518,86439.00763264882
229.08676527677747,88777.59653421245
239.88329190194898,91241.89507545317
251.1886431509582,93857.86691572262
263.02679918953817,96636.00291691643
275.42287033381695,99586.9723399869
288.40315031266056,102733.56470102644
301.9951720402019,106094.96153686964
316.2277660168379,109688.57634116415
331.1311214825908,113542.7384223512
346.73685045253166,117680.0862456786
363.07805477010174,122141.09955723087
380.18939632056123,126952.13189399413
398.1071705534969,132155.48354580085
416.8693834703355,137806.87458704744
436.51583224016565,143955.09426968114
457.0881896148752,150669.19797728158
478.63009232263806,158020.06176692812
501.18723362727246,166102.13856343576
524.8074602497724,175013.15840721375
549.5408738576249,184884.15411099853
575.4399373371566,195818.969775643
602.5595860743581,207810.40696134174
630.957344480193,221233.03888584857
660.6934480075964,236334.18647199526
691.8309709189364,253414.56035385694
724.4359600749907,272853.3443697572
758.5775750291835,295111.09810046473
794.3282347242822,320781.78380467923
831.7637711026708,350621.09733176173
870.9635899560797,385596.99473390594
912.0108393559096,426986.07272953
954.9925860214369,476472.59167012176
1000.,536336.4269888347
1047.1285480508984,609685.3819509925
1096.478196143185,700614.5125834306
1148.1536214968842,811370.0076827817
1202.2644346174131,952540.508732306
1258.9254117941662,1.1360137801890345e6
1318.2567385564075,1.379798464949097e6
1380.3842646028838,1.711992730076241e6
1445.439770745928,2.1780777548582577e6
1513.5612484362073,2.8547206830657125e6
1584.8931924611143,3.8763951857564216e6
1659.5869074375598,5.492569171554014e6
1737.8008287493765,8.194053475289788e6
1819.7008586099826,1.3013521210444318e7
1905.4607179632483,2.2319646586717155e7
1995.2623149688789,4.208574458537656e7
2089.2961308540407,8.926906148026091e7
2187.761623949552,2.1922460398191634e8
2290.867652767775,6.468220580100468e8
2398.83291901949,2.4027783439821978e9
2511.8864315095825,nan
2630.2679918953813,nan
2754.2287033381635,nan
2884.031503126606,nan
3019.951720402019,nan
3162.2776601683795,nan
3311.311214825908,nan
3467.368504525317,nan
3630.7805477010174,nan
3801.8939632056126,nan
3981.0717055349696,nan
4168.693834703356,nan
4365.158322401657,nan
4570.881896148751,nan
4786.300923226381,nan
5011.872336272725,nan
5248.074602497723,nan
5495.408738576249,nan
5754.399373371567,nan
6025.595860743581,nan
6309.57344480193,nan
6606.9344800759645,nan
6918.309709189363,nan
7244.359600749906,nan
7585.775750291836,nan
7943.282347242822,nan
8317.63771102671,nan
8709.635899560797,nan
9120.108393559096,nan
9549.92586021437,nan
10000.,nan
