"Ltot","SKR"
100.,102450.42425714748
104.71285480508986,102129.49554715719
109.64781961431851,98209.50868783193
114.81536214968817,97204.59469416806
120.22644346174131,95785.00298118572
125.89254117941661,94006.85199417533
131.82567385564076,91910.83771526183
138.03842646028838,89526.85289039547
144.54397707459282,84492.28518074709
151.35612484362073,81672.36087631976
158.48931924611142,91453.76248627855
165.95869074375597,91876.67148574986
173.78008287493762,90301.4701725642
181.97008586099827,88468.82796451927
190.54607179632484,87736.9463939062
199.5262314968879,86640.5499807773
208.9296130854041,85232.63214755124
218.77616239495518,83550.16552951741
229.08676527677747,82604.91687008744
239.88329190194898,80411.53839484153
251.1886431509582,78893.68910273655
263.02679918953817,77897.98646389747
275.42287033381695,75833.44851006939
288.40315031266056,74252.37050963035
301.9951720402019,72409.11262054993
316.2277660168379,70920.8133016384
331.1311214825908,69153.47103782363
346.73685045253166,67150.24241288812
363.07805477010174,64942.74813611924
380.18939632056123,62984.485380983475
398.1071705534969,61202.71435167288
416.8693834703355,59184.50693484385
436.51583224016565,56971.28148549265
457.0881896148752,54886.72568480948
478.63009232263806,52622.423430411574
501.18723362727246,50451.498068273584
524.8074602497724,48122.875160056596
549.5408738576249,45668.66222013361
575.4399373371566,41532.78861524629
602.5595860743581,39291.42772003585
630.957344480193,37109.044735332776
660.6934480075964,34839.53512780784
691.8309709189364,32626.04752119118
724.4359600749907,30354.422104475052
758.5775750291835,28142.003151904803
794.3282347242822,25980.547047371994
831.7637711026708,23796.956999281556
870.9635899560797,21617.376187850306
912.0108393559096,19516.407730625935
954.9925860214369,17449.4835943897
1000.,15438.071298805085
1047.1285480508984,13533.432467778037
1096.478196143185,11429.188270763007
1148.1536214968842,9811.315598087642
1202.2644346174131,8295.453844783431
1258.9254117941662,6894.349814205733
1318.2567385564075,5596.701192215037
1380.3842646028838,4468.502467327193
1445.439770745928,3455.855029421513
1513.5612484362073,2592.1158106923435
1584.8931924611143,1875.0999988649135
1659.5869074375598,1296.7072575589998
1737.8008287493765,848.3364752250429
1819.7008586099826,521.9436838838743
1905.4607179632483,295.79670199039606
1995.2623149688789,152.43158113586423
2089.2961308540407,69.59430843486093
2187.761623949552,27.438893564282377
2290.867652767775,8.97566880550636
2398.83291901949,2.328299295764483
2511.8864315095825,0.
2630.2679918953813,0.
2754.2287033381635,0.
2884.031503126606,0.
3019.951720402019,0.
3162.2776601683795,0.
3311.311214825908,0.
3467.368504525317,0.
3630.7805477010174,0.
3801.8939632056126,0.
3981.0717055349696,0.
4168.693834703356,0.
4365.158322401657,0.
4570.881896148751,0.
4786.300923226381,0.
5011.872336272725,0.
5248.074602497723,0.
5495.408738576249,0.
5754.399373371567,0.
6025.595860743581,0.
6309.57344480193,0.
6606.9344800759645,0.
6918.309709189363,0.
7244.359600749906,0.
7585.775750291836,0.
7943.282347242822,0.
8317.63771102671,0.
8709.635899560797,0.
9120.108393559096,0.
9549.92586021437,0.
10000.,0.
