"Ltot","L0"
100.,1.0416666666666667
125.89254117941661,1.015262428866263
158.48931924611142,1.0930297879042166
199.5262314968879,1.1084790638715996
251.1886431509582,1.1163939695598142
316.2277660168379,1.2162606385262995
398.1071705534969,1.2063853653136272
501.18723362727246,1.3017850224085001
630.957344480193,1.2876680499595776
794.3282347242822,1.2915906255679386
1000.,1.2903225806451613
1258.9254117941662,1.291205550558119
1584.8931924611143,1.2833143258794446
1995.2623149688789,1.2872660096573412
2511.8864315095825,1.3361098039944586
3162.2776601683795,1.3342943713790631
3981.0717055349696,1.351807030741925
5011.872336272725,1.4038858084797547
6309.57344480193,1.4379155525984346
7943.282347242822,nan
10000.,nan
