"Ltot","mII"
100.,13
125.89254117941661,17
158.48931924611142,22
199.5262314968879,29
251.1886431509582,38
316.2277660168379,49
398.1071705534969,65
501.18723362727246,85
630.957344480193,111
794.3282347242822,145
1000.,191
1258.9254117941662,252
1584.8931924611143,332
1995.2623149688789,440
2511.8864315095825,628
3162.2776601683795,601
3981.0717055349696,608
5011.872336272725,811
6309.57344480193,1022
7943.282347242822,1007
10000.,1021
