"Ltot","mII"
100.,13
125.89254117941661,18
158.48931924611142,23
199.5262314968879,30
251.1886431509582,39
316.2277660168379,51
398.1071705534969,67
501.18723362727246,88
630.957344480193,116
794.3282347242822,154
1000.,203
1258.9254117941662,270
1584.8931924611143,251
1995.2623149688789,342
2511.8864315095825,380
3162.2776601683795,505
3981.0717055349696,544
5011.872336272725,702
6309.57344480193,829
7943.282347242822,nan
10000.,nan
