"Ltot","mI"
100.,34.
125.89254117941661,46.
158.48931924611142,58.
199.5262314968879,78.
251.1886431509582,102.
316.2277660168379,130.
398.1071705534969,168.
501.18723362727246,230.
630.957344480193,294.
794.3282347242822,380.
1000.,550.
1258.9254117941662,740.
1584.8931924611143,928.
1995.2623149688789,1204.
2511.8864315095825,1534.
3162.2776601683795,1980.
3981.0717055349696,2571.
5011.872336272725,3321.
6309.57344480193,4089.
7943.282347242822,5293.
10000.,7154.
