"Ltot","mI"
100.,35.
125.89254117941661,47.
158.48931924611142,60.
199.5262314968879,78.
251.1886431509582,100.
316.2277660168379,132.
398.1071705534969,171.
501.18723362727246,221.
630.957344480193,304.
794.3282347242822,432.
1000.,546.
1258.9254117941662,716.
1584.8931924611143,910.
1995.2623149688789,1161.
2511.8864315095825,1490.
3162.2776601683795,1939.
3981.0717055349696,2424.
5011.872336272725,2925.
6309.57344480193,3657.
7943.282347242822,nan
10000.,nan
