"Ltot","mI"
100.,34.
125.89254117941661,46.
158.48931924611142,62.
199.5262314968879,78.
251.1886431509582,99.
316.2277660168379,132.
398.1071705534969,175.
501.18723362727246,231.
630.957344480193,300.
794.3282347242822,390.
1000.,570.
1258.9254117941662,735.
1584.8931924611143,961.
1995.2623149688789,1196.
2511.8864315095825,1593.
3162.2776601683795,2040.
3981.0717055349696,2662.
5011.872336272725,3400.
6309.57344480193,4356.
7943.282347242822,5814.
10000.,7294.
