"Ltot","cost"
100.,379552.281373642
125.89254117941661,400436.2858142172
158.48931924611142,425086.66427580715
199.5262314968879,449284.42677156476
251.1886431509582,479918.1070198923
316.2277660168379,514369.2540539589
398.1071705534969,555943.9205912414
501.18723362727246,605205.2618017871
630.957344480193,665790.5798789512
794.3282347242822,742118.4863484185
1000.,841668.7301492922
1258.9254117941662,976156.102200722
1584.8931924611143,1.1661312667582103e6
1995.2623149688789,1.4170307379661663e6
2511.8864315095825,1.826019757968216e6
3162.2776601683795,2.625520548393378e6
3981.0717055349696,4.800930769203999e6
5011.872336272725,1.731757462447825e7
6309.57344480193,4.473694458187666e8
7943.282347242822,nan
10000.,nan
