"Ltot","cost"
100.,342478.0655361293
125.89254117941661,354724.8307434386
158.48931924611142,367642.45315551443
199.5262314968879,383379.31867523707
251.1886431509582,398333.69648777036
316.2277660168379,415249.7880153377
398.1071705534969,434490.9283454325
501.18723362727246,454421.9800318721
630.957344480193,476621.41649737034
794.3282347242822,501319.20360089745
1000.,528426.6764765038
1258.9254117941662,558877.587624407
1584.8931924611143,593345.1315231856
1995.2623149688789,632710.3588433223
2511.8864315095825,676873.5269988232
3162.2776601683795,727996.4231425484
3981.0717055349696,788506.6805464535
5011.872336272725,848049.7756787391
6309.57344480193,921868.7922306559
7943.282347242822,1.0040852922300855e6
10000.,1.1188632026988063e6
