"Ltot","cost"
100.,360816.5845780094
125.89254117941661,377102.12016777205
158.48931924611142,396724.21235962946
199.5262314968879,415188.8895896247
251.1886431509582,437806.2445523458
316.2277660168379,463140.50979486527
398.1071705534969,491617.0239464073
501.18723362727246,524148.10807441594
630.957344480193,562061.305312584
794.3282347242822,606355.616722033
1000.,659526.2593249561
1258.9254117941662,724426.8254242126
1584.8931924611143,805004.201762367
1995.2623149688789,906686.465326231
2511.8864315095825,1.0339926050151124e6
3162.2776601683795,1.1880526266722453e6
3981.0717055349696,1.4112375628221184e6
5011.872336272725,1.7583771507719022e6
6309.57344480193,2.388640997067443e6
7943.282347242822,3.812386140504383e6
10000.,1.2139633999210458e7
