"Ltot","mI"
100.,25.
125.89254117941661,35.
158.48931924611142,42.
199.5262314968879,55.
251.1886431509582,70.
316.2277660168379,95.
398.1071705534969,120.
501.18723362727246,160.
630.957344480193,196.
794.3282347242822,260.
1000.,340.
1258.9254117941662,452.
1584.8931924611143,612.
1995.2623149688789,808.
2511.8864315095825,1144.
3162.2776601683795,1625.
3981.0717055349696,1996.
5011.872336272725,2664.
6309.57344480193,3535.
7943.282347242822,5035.
10000.,7154.
