"Ltot","L0"
100.,2.857142857142857
125.89254117941661,2.6785647059450346
158.48931924611142,2.5157034800970064
199.5262314968879,2.494077893711099
251.1886431509582,2.4626337563819436
316.2277660168379,2.325204161888514
398.1071705534969,2.211706503074983
501.18723362727246,2.1058287127196325
630.957344480193,2.0353462725167515
794.3282347242822,1.97103780328606
1000.,1.7094017094017095
1258.9254117941662,1.6652452536959867
1584.8931924611143,1.59767458917451
1995.2623149688789,1.6064913969153616
2511.8864315095825,1.520512367741878
3162.2776601683795,1.4881306636086493
3981.0717055349696,1.430496480609044
5011.872336272725,1.4038858084797547
6309.57344480193,1.3722430284475708
7943.282347242822,1.2903317653091004
10000.,1.2795905310300706
