"Ltot","L0"
100.,2.857142857142857
125.89254117941661,2.6227612745711797
158.48931924611142,2.4382972191709444
199.5262314968879,2.375312279724856
251.1886431509582,2.3258207699162794
316.2277660168379,2.325204161888514
398.1071705534969,2.163625926921179
501.18723362727246,2.237443007264609
630.957344480193,2.389989941212852
794.3282347242822,2.3158257572136507
1000.,2.7472527472527473
1258.9254117941662,nan
1584.8931924611143,nan
1995.2623149688789,nan
2511.8864315095825,nan
3162.2776601683795,nan
3981.0717055349696,nan
5011.872336272725,nan
6309.57344480193,nan
7943.282347242822,nan
10000.,nan
