"Ltot","mI"
100.,13.
125.89254117941661,18.
158.48931924611142,23.
199.5262314968879,30.
251.1886431509582,39.
316.2277660168379,51.
398.1071705534969,67.
501.18723362727246,88.
630.957344480193,116.
794.3282347242822,154.
1000.,203.
1258.9254117941662,270.
1584.8931924611143,502.
1995.2623149688789,684.
2511.8864315095825,1140.
3162.2776601683795,1515.
3981.0717055349696,2176.
5011.872336272725,2808.
6309.57344480193,3319.
7943.282347242822,nan
10000.,nan
