"Ltot","mI"
100.,13.
125.89254117941661,17.
158.48931924611142,22.
199.5262314968879,28.
251.1886431509582,37.
316.2277660168379,48.
398.1071705534969,62.
501.18723362727246,80.
630.957344480193,105.
794.3282347242822,136.
1000.,178.
1258.9254117941662,232.
1584.8931924611143,304.
1995.2623149688789,398.
2511.8864315095825,525.
3162.2776601683795,689.
3981.0717055349696,899.
5011.872336272725,1708.
6309.57344480193,2796.
7943.282347242822,4028.
10000.,5958.
