"Ltot","L0"
100.,3.703703703703704
125.89254117941661,3.596929747983332
158.48931924611142,3.4454199836111177
199.5262314968879,3.3254371916147987
251.1886431509582,3.1398580393869775
316.2277660168379,3.0116930096841705
398.1071705534969,2.8640803636942223
501.18723362727246,2.7387280526080464
630.957344480193,2.5965322818114935
794.3282347242822,2.482275733513382
1000.,2.4271844660194173
1258.9254117941662,2.478199629516075
1584.8931924611143,nan
1995.2623149688789,nan
2511.8864315095825,nan
3162.2776601683795,nan
3981.0717055349696,nan
5011.872336272725,nan
6309.57344480193,nan
7943.282347242822,nan
10000.,nan
