"Ltot","mI"
100.,40.
125.89254117941661,54.
158.48931924611142,72.
199.5262314968879,110.
251.1886431509582,144.
316.2277660168379,198.
398.1071705534969,264.
501.18723362727246,360.
630.957344480193,486.
794.3282347242822,657.
1000.,888.
1258.9254117941662,1140.
1584.8931924611143,1422.
1995.2623149688789,1791.
2511.8864315095825,2259.
3162.2776601683795,2845.
3981.0717055349696,3582.
5011.872336272725,4509.
6309.57344480193,5678.
7943.282347242822,7220.
10000.,9090.
