"Ltot","mI"
100.,35.
125.89254117941661,50.
158.48931924611142,65.
199.5262314968879,100.
251.1886431509582,130.
316.2277660168379,170.
398.1071705534969,225.
501.18723362727246,300.
630.957344480193,390.
794.3282347242822,505.
1000.,654.
1258.9254117941662,795.
1584.8931924611143,966.
1995.2623149688789,1075.
2511.8864315095825,1200.
3162.2776601683795,nan
3981.0717055349696,nan
5011.872336272725,nan
6309.57344480193,nan
7943.282347242822,nan
10000.,nan
