"Ltot","L0"
100.,2.857142857142857
125.89254117941661,2.9974414566527767
158.48931924611142,2.641488654101857
199.5262314968879,2.6603497532918388
251.1886431509582,2.511886431509582
316.2277660168379,2.3424278964210217
398.1071705534969,2.3418068856088055
501.18723362727246,2.198189621172248
630.957344480193,2.3809711112460112
794.3282347242822,2.3225971775563807
1000.,2.73224043715847
1258.9254117941662,nan
1584.8931924611143,nan
1995.2623149688789,nan
2511.8864315095825,nan
3162.2776601683795,nan
3981.0717055349696,nan
5011.872336272725,nan
6309.57344480193,nan
7943.282347242822,nan
10000.,nan
