"Ltot","SKR"
100.,15233.030866469675
125.89254117941661,14910.82174808949
158.48931924611142,14393.60310573413
199.5262314968879,15521.394791065053
251.1886431509582,15114.17770078304
316.2277660168379,14682.039077241683
398.1071705534969,14214.842203008582
501.18723362727246,13407.301482804907
630.957344480193,12714.661846451778
794.3282347242822,11745.805009116066
1000.,10658.005269331887
1258.9254117941662,9123.131031319219
1584.8931924611143,7193.434553237998
1995.2623149688789,5416.6270177902825
2511.8864315095825,3744.7140938696416
3162.2776601683795,2356.772502805195
3981.0717055349696,1310.6913746005482
5011.872336272725,621.7893815112067
6309.57344480193,240.1716678714705
7943.282347242822,69.88924726106268
10000.,12.631316802507454
