"Ltot","SKR"
100.,14984.841502823374
125.89254117941661,14627.569822672238
158.48931924611142,13874.533294630448
199.5262314968879,15032.863628582869
251.1886431509582,14517.15719467874
316.2277660168379,13946.70309660265
398.1071705534969,12995.139933350325
501.18723362727246,12102.390537974523
630.957344480193,11097.51519663363
794.3282347242822,9883.481086818821
1000.,8445.870978690002
1258.9254117941662,6959.641300051812
1584.8931924611143,5255.861069536061
1995.2623149688789,3592.767257942833
2511.8864315095825,2168.613519735015
3162.2776601683795,1100.2966838385373
3981.0717055349696,433.78882557229264
5011.872336272725,87.67765463538443
6309.57344480193,4.83195882015467
7943.282347242822,0.
10000.,0.
