"Ltot","SKR"
100.,15419.550568185177
125.89254117941661,15121.135267031419
158.48931924611142,14638.658550239057
199.5262314968879,16000.234948653962
251.1886431509582,15625.18021487395
316.2277660168379,15396.945745540375
398.1071705534969,14984.93337068789
501.18723362727246,14444.054640029082
630.957344480193,13835.744909764315
794.3282347242822,13137.074983115943
1000.,12476.261873265743
1258.9254117941662,10604.99567505274
1584.8931924611143,8689.056958754949
1995.2623149688789,6758.957516674713
2511.8864315095825,4946.681366819433
3162.2776601683795,3321.5091582329383
3981.0717055349696,2020.3795386110357
5011.872336272725,1077.1360795468197
6309.57344480193,487.90027699515974
7943.282347242822,180.7871308778014
10000.,51.73354154586425
