"Ltot","SKR"
100.,23018.671373413235
125.89254117941661,22690.846614074657
158.48931924611142,22329.325580678757
199.5262314968879,21905.788736998496
251.1886431509582,21391.492852992902
316.2277660168379,20802.64895055336
398.1071705534969,20112.350898697026
501.18723362727246,19385.743284695396
630.957344480193,18517.23447483998
794.3282347242822,17481.125953612816
1000.,16251.097505316002
1258.9254117941662,14799.160746796317
1584.8931924611143,13096.487279093975
1995.2623149688789,11115.979074758901
2511.8864315095825,8851.457257396241
3162.2776601683795,6349.638711055174
3981.0717055349696,3562.9732325376062
5011.872336272725,978.4586471246017
6309.57344480193,36.27010439821194
7943.282347242822,0.
10000.,0.
