"Ltot","SKR"
100.,24487.590049380677
125.89254117941661,24434.327262758165
158.48931924611142,24370.063268751946
199.5262314968879,24293.248249761604
251.1886431509582,24195.52400549617
316.2277660168379,24078.316591166007
398.1071705534969,23931.325303995305
501.18723362727246,23751.53239192076
630.957344480193,23543.363835504562
794.3282347242822,23336.47369822948
1000.,23069.71002626972
1258.9254117941662,22770.398569321354
1584.8931924611143,22402.55474178829
1995.2623149688789,21971.73235465209
2511.8864315095825,21539.090221898536
3162.2776601683795,21067.803951543763
3981.0717055349696,20503.27745547568
5011.872336272725,19828.64224812508
6309.57344480193,18956.11940041174
7943.282347242822,17856.5497504478
10000.,16286.79378769884
