"Ltot","cost"
100.,334565.99911704246
125.89254117941661,360196.03760763025
158.48931924611142,389835.13006078615
199.5262314968879,426761.5457158507
251.1886431509582,473414.0493671607
316.2277660168379,534523.655446318
398.1071705534969,617973.0910580176
501.18723362727246,733041.8741798087
630.957344480193,904463.4948587285
794.3282347242822,1.1964933071093217e6
1000.,1.7773208579887724e6
1258.9254117941662,3.1659936165892733e6
1584.8931924611143,8.680238428802067e6
1995.2623149688789,7.157027137799646e7
2511.8864315095825,3.6565468493105855e9
3162.2776601683795,nan
3981.0717055349696,nan
5011.872336272725,nan
6309.57344480193,nan
7943.282347242822,nan
10000.,nan
