"Ltot","cost"
100.,257936.57333233368
125.89254117941661,267157.0557761928
158.48931924611142,276691.570447064
199.5262314968879,286849.76105666003
251.1886431509582,297901.70249858015
316.2277660168379,309742.88934769644
398.1071705534969,322545.15983124333
501.18723362727246,336633.81678424135
630.957344480193,352032.2242075843
794.3282347242822,369121.8004373709
1000.,388152.4908941227
1258.9254117941662,409581.982439557
1584.8931924611143,433917.2187281344
1995.2623149688789,461866.4343237179
2511.8864315095825,500321.006708576
3162.2776601683795,538280.8203732932
3981.0717055349696,578711.9522895361
5011.872336272725,662110.1987006235
6309.57344480193,747365.529107654
7943.282347242822,838644.4233267371
10000.,979005.3023614555
