"Ltot","cost"
100.,493574.65454526833
125.89254117941661,522504.87191397307
158.48931924611142,562540.1549322685
199.5262314968879,600564.41976435
251.1886431509582,645805.4972887893
316.2277660168379,697920.2255351626
398.1071705534969,757964.3742841494
501.18723362727246,826704.1157785263
630.957344480193,906615.3031880341
794.3282347242822,1.0020114324796902e6
1000.,1.1086808516559785e6
1258.9254117941662,1.228285397924917e6
1584.8931924611143,1.3774363631887885e6
1995.2623149688789,1.5694886367176431e6
2511.8864315095825,1.817911419107372e6
3162.2776601683795,2.1624997734946692e6
3981.0717055349696,2.6600151673201923e6
5011.872336272725,3.444957955892321e6
6309.57344480193,4.847762099530743e6
7943.282347242822,7.9910913617232265e6
10000.,2.2922205824520487e7
