"Ltot","cost"
100.,945042.3949910398
125.89254117941661,1.1305480010348328e6
158.48931924611142,1.385041059971369e6
199.5262314968879,1.7544076776685538e6
251.1886431509582,2.3514655100019095e6
316.2277660168379,3.430132432919762e6
398.1071705534969,5.858475738257327e6
501.18723362727246,1.2432674751038115e7
630.957344480193,4.4568227104979075e7
794.3282347242822,3.3783978696434903e8
1000.,1.4043855824921448e10
1258.9254117941662,nan
1584.8931924611143,nan
1995.2623149688789,nan
2511.8864315095825,nan
3162.2776601683795,nan
3981.0717055349696,nan
5011.872336272725,nan
6309.57344480193,nan
7943.282347242822,nan
10000.,nan
