"Ltot","mII"
100.,7
125.89254117941661,10
158.48931924611142,13
199.5262314968879,20
251.1886431509582,26
316.2277660168379,34
398.1071705534969,45
501.18723362727246,60
630.957344480193,78
794.3282347242822,101
1000.,109
1258.9254117941662,159
1584.8931924611143,161
1995.2623149688789,215
2511.8864315095825,200
3162.2776601683795,nan
3981.0717055349696,nan
5011.872336272725,nan
6309.57344480193,nan
7943.282347242822,nan
10000.,nan
