"Ltot","mII"
100.,11
125.89254117941661,10
158.48931924611142,10
199.5262314968879,20
251.1886431509582,23
316.2277660168379,31
398.1071705534969,41
501.18723362727246,55
630.957344480193,74
794.3282347242822,99
1000.,131
1258.9254117941662,174
1584.8931924611143,224
1995.2623149688789,331
2511.8864315095825,356
3162.2776601683795,521
3981.0717055349696,566
5011.872336272725,666
6309.57344480193,734
7943.282347242822,nan
10000.,nan
