"Ltot","mII"
100.,5
125.89254117941661,5
158.48931924611142,10
199.5262314968879,11
251.1886431509582,15
316.2277660168379,19
398.1071705534969,25
501.18723362727246,39
630.957344480193,52
794.3282347242822,68
1000.,91
1258.9254117941662,124
1584.8931924611143,163
1995.2623149688789,234
2511.8864315095825,310
3162.2776601683795,411
3981.0717055349696,544
5011.872336272725,702
6309.57344480193,731
7943.282347242822,nan
10000.,nan
