"Ltot","mII"
100.,5
125.89254117941661,5
158.48931924611142,7
199.5262314968879,9
251.1886431509582,14
316.2277660168379,18
398.1071705534969,23
501.18723362727246,31
630.957344480193,40
794.3282347242822,61
1000.,80
1258.9254117941662,105
1584.8931924611143,137
1995.2623149688789,180
2511.8864315095825,243
3162.2776601683795,320
3981.0717055349696,418
5011.872336272725,497
6309.57344480193,569
7943.282347242822,855
10000.,993
