"Ltot","mII"
100.,5
125.89254117941661,5
158.48931924611142,7
199.5262314968879,11
251.1886431509582,14
316.2277660168379,19
398.1071705534969,24
501.18723362727246,32
630.957344480193,49
794.3282347242822,65
1000.,85
1258.9254117941662,113
1584.8931924611143,153
1995.2623149688789,202
2511.8864315095825,286
3162.2776601683795,325
3981.0717055349696,499
5011.872336272725,666
6309.57344480193,883
7943.282347242822,1007
10000.,1021
