"Ltot","ntot"
100.,26
125.89254117941661,34
158.48931924611142,44
199.5262314968879,58
251.1886431509582,76
316.2277660168379,98
398.1071705534969,130
501.18723362727246,170
630.957344480193,222
794.3282347242822,290
1000.,382
1258.9254117941662,504
1584.8931924611143,664
1995.2623149688789,880
2511.8864315095825,1256
3162.2776601683795,1803
3981.0717055349696,2432
5011.872336272725,3246
6309.57344480193,4088
7943.282347242822,6042
10000.,8175
