"Ltot","SKR"
100.,19153.709532539604
125.89254117941661,18688.12376637389
158.48931924611142,18049.953170381894
199.5262314968879,18515.7694152516
251.1886431509582,18258.652315450727
316.2277660168379,18286.040461909117
398.1071705534969,17933.9154364923
501.18723362727246,17937.54826368017
630.957344480193,17783.050708270293
794.3282347242822,17203.344718830693
1000.,17684.82089357735
1258.9254117941662,17368.749229764908
1584.8931924611143,17413.284515199488
1995.2623149688789,16848.996638517918
2511.8864315095825,16425.38670560048
3162.2776601683795,15989.768415873876
3981.0717055349696,15648.2834889426
5011.872336272725,14942.041081562636
6309.57344480193,14255.537070406277
7943.282347242822,13806.050044015605
10000.,13090.962609171707
