"Ltot","SKR"
100.,17829.11646487898
125.89254117941661,17026.59000350279
158.48931924611142,17497.301281676733
199.5262314968879,16356.729529446653
251.1886431509582,16274.295196828401
316.2277660168379,16311.605768233472
398.1071705534969,15774.5928695895
501.18723362727246,15929.195255539888
630.957344480193,15173.881206491462
794.3282347242822,14574.219717905591
1000.,14431.565203008277
1258.9254117941662,14356.66893107281
1584.8931924611143,13815.283245077548
1995.2623149688789,13182.006240836412
2511.8864315095825,11886.859277364765
3162.2776601683795,11055.177625400975
3981.0717055349696,9709.424444673716
5011.872336272725,8121.309037354216
6309.57344480193,6492.234637285383
7943.282347242822,4446.75540108446
10000.,1515.037438624277
