"Ltot","cost"
100.,649536.2323074065
125.89254117941661,706483.5089450483
158.48931924611142,826505.9610505602
199.5262314968879,903548.1799597603
251.1886431509582,1.1057857140591147e6
316.2277660168379,1.5487595709658528e6
398.1071705534969,2.375659331749548e6
501.18723362727246,5.138612813229493e6
630.957344480193,1.7347253968737546e7
794.3282347242822,1.4537793726329884e8
1000.,5.779841425941155e9
1258.9254117941662,nan
1584.8931924611143,nan
1995.2623149688789,nan
2511.8864315095825,nan
3162.2776601683795,nan
3981.0717055349696,nan
5011.872336272725,nan
6309.57344480193,nan
7943.282347242822,nan
10000.,nan
