"Ltot","cost"
100.,834105.4828288729
125.89254117941661,868162.4161587302
158.48931924611142,819449.8720444288
199.5262314968879,823651.7126684388
251.1886431509582,837474.1677928702
316.2277660168379,790468.7461660097
398.1071705534969,824292.0249087972
501.18723362727246,792516.4178455573
630.957344480193,838783.637331089
794.3282347242822,885800.0683799208
1000.,953781.7365830026
1258.9254117941662,1.0466404711818951e6
1584.8931924611143,1.189986755726374e6
1995.2623149688789,1.3977000260575274e6
2511.8864315095825,1.6911147145068788e6
3162.2776601683795,2.3606376348784785e6
3981.0717055349696,4.152433969046182e6
5011.872336272725,1.455981095444662e7
6309.57344480193,3.834844946772315e8
7943.282347242822,nan
10000.,nan
