"Ltot","cost"
100.,276009.6322503057
125.89254117941661,291018.9960124168
158.48931924611142,308095.15570542484
199.5262314968879,327773.14023388224
251.1886431509582,350788.00166274415
316.2277660168379,378136.2275034613
398.1071705534969,411399.0519875135
501.18723362727246,452880.9655641111
630.957344480193,506280.1407037415
794.3282347242822,577796.3414766957
1000.,678691.5517952458
1258.9254117941662,831752.5325114263
1584.8931924611143,1.090798029052377e6
1995.2623149688789,1.6199788543686843e6
2511.8864315095825,4.030861551441316e6
3162.2776601683795,3.8982704369651923e9
3981.0717055349696,nan
5011.872336272725,nan
6309.57344480193,nan
7943.282347242822,nan
10000.,nan
