"Ltot","L0"
100.,2.2727272727272725
125.89254117941661,2.0982090196569434
158.48931924611142,1.9566582622976716
199.5262314968879,1.6489771198089909
251.1886431509582,1.5505471799441863
316.2277660168379,1.4373989364401722
398.1071705534969,1.340428183681808
501.18723362727246,1.2529680840681814
630.957344480193,1.1684395268151724
794.3282347242822,1.0881208694853182
1000.,1.001001001001001
1258.9254117941662,1.0039277606014083
1584.8931924611143,1.0030969572538697
1995.2623149688789,1.0026443793813462
2511.8864315095825,1.000751566338479
3162.2776601683795,1.0004041949283073
3981.0717055349696,1.0002692727474798
5011.872336272725,1.0003737198149152
6309.57344480193,1.0002494363985306
7943.282347242822,1.000161464019494
10000.,1.000100010001
