"Ltot","mII"
100.,24
125.89254117941661,31
158.48931924611142,40
199.5262314968879,52
251.1886431509582,68
316.2277660168379,88
398.1071705534969,115
501.18723362727246,149
630.957344480193,194
794.3282347242822,252
1000.,329
1258.9254117941662,429
1584.8931924611143,560
1995.2623149688789,732
2511.8864315095825,957
3162.2776601683795,1022
3981.0717055349696,1022
5011.872336272725,nan
6309.57344480193,nan
7943.282347242822,nan
10000.,nan
