"Ltot","SKR"
100.,13849.62345599607
125.89254117941661,11853.859340983003
158.48931924611142,11503.839006825174
199.5262314968879,9725.65463233017
251.1886431509582,8032.480533533599
316.2277660168379,6118.554802097227
398.1071705534969,3780.4229012344285
501.18723362727246,1777.118209492043
630.957344480193,493.5316417815291
794.3282347242822,60.15296124707788
1000.,1.2838388871019841
1258.9254117941662,0.
1584.8931924611143,0.
1995.2623149688789,0.
2511.8864315095825,0.
3162.2776601683795,0.
3981.0717055349696,0.
5011.872336272725,0.
6309.57344480193,0.
7943.282347242822,0.
10000.,0.
