"Ltot","mI"
100.,72.
125.89254117941661,93.
158.48931924611142,117.
199.5262314968879,147.
251.1886431509582,200.
316.2277660168379,252.
398.1071705534969,316.
501.18723362727246,400.
630.957344480193,468.
794.3282347242822,544.
1000.,684.
1258.9254117941662,864.
1584.8931924611143,1084.
1995.2623149688789,1368.
2511.8864315095825,1720.
3162.2776601683795,2176.
3981.0717055349696,2716.
5011.872336272725,3432.
6309.57344480193,4087.
7943.282347242822,5115.
10000.,7154.
