"Ltot","mII/mI"
100.,0.5
125.89254117941661,0.3333333333333333
158.48931924611142,0.5
199.5262314968879,0.5
251.1886431509582,0.5
316.2277660168379,0.5
398.1071705534969,0.5
501.18723362727246,0.5
630.957344480193,0.3333333333333333
794.3282347242822,0.3333333333333333
1000.,0.25
1258.9254117941662,0.3333333333333333
1584.8931924611143,0.3333333333333333
1995.2623149688789,0.25
2511.8864315095825,0.25
3162.2776601683795,0.2
3981.0717055349696,0.25
5011.872336272725,0.2
6309.57344480193,0.16666666666666666
7943.282347242822,0.14285714285714285
10000.,0.11109870477891916
