"Ltot","cost"
100.,570704.0526950797
125.89254117941661,630371.9031912804
158.48931924611142,698254.4845553627
199.5262314968879,758034.559661284
251.1886431509582,825505.5076839863
316.2277660168379,903687.12955756
398.1071705534969,995707.1569202433
501.18723362727246,1.1050981817470395e6
630.957344480193,1.23714672323137e6
794.3282347242822,1.3991174622827077e6
1000.,1.6014412171656431e6
1258.9254117941662,1.8785252476574841e6
1584.8931924611143,2.294639358473148e6
1995.2623149688789,2.9512320278910613e6
2511.8864315095825,4.040078282752884e6
3162.2776601683795,6.018926462397684e6
3981.0717055349696,9.896465299070545e6
5011.872336272725,1.856081954324616e7
6309.57344480193,4.0981760943513e7
7943.282347242822,1.1060948389326926e8
10000.,3.865577225613062e8
