"Ltot","mII/mI"
100.,0.02857142857142857
125.89254117941661,0.02127659574468085
158.48931924611142,0.03333333333333333
199.5262314968879,0.038461538461538464
251.1886431509582,0.04
316.2277660168379,0.045454545454545456
398.1071705534969,0.05263157894736842
501.18723362727246,0.058823529411764705
630.957344480193,0.0625
794.3282347242822,0.0625
1000.,0.07142857142857142
1258.9254117941662,0.07681564245810056
1584.8931924611143,0.1
1995.2623149688789,0.1111111111111111
2511.8864315095825,0.12483221476510067
3162.2776601683795,0.14285714285714285
3981.0717055349696,0.16666666666666666
5011.872336272725,0.2
6309.57344480193,0.19989062072737215
7943.282347242822,nan
10000.,nan
