"Ltot","mII/mI"
100.,0.029411764705882353
125.89254117941661,0.021739130434782608
158.48931924611142,0.016129032258064516
199.5262314968879,0.02564102564102564
251.1886431509582,0.030303030303030304
316.2277660168379,0.030303030303030304
398.1071705534969,0.02857142857142857
501.18723362727246,0.030303030303030304
630.957344480193,0.03333333333333333
794.3282347242822,0.03333333333333333
1000.,0.02631578947368421
1258.9254117941662,0.02857142857142857
1584.8931924611143,0.03225806451612903
1995.2623149688789,0.038461538461538464
2511.8864315095825,0.037037037037037035
3162.2776601683795,0.041666666666666664
3981.0717055349696,0.045454545454545456
5011.872336272725,0.05
6309.57344480193,0.05555555555555555
7943.282347242822,0.058823529411764705
10000.,0.07142857142857142
