"Ltot","mII/mI"
100.,0.029411764705882353
125.89254117941661,0.021739130434782608
158.48931924611142,0.034482758620689655
199.5262314968879,0.02564102564102564
251.1886431509582,0.029411764705882353
316.2277660168379,0.038461538461538464
398.1071705534969,0.041666666666666664
501.18723362727246,0.043478260869565216
630.957344480193,0.047619047619047616
794.3282347242822,0.05263157894736842
1000.,0.045454545454545456
1258.9254117941662,0.05
1584.8931924611143,0.0625
1995.2623149688789,0.07142857142857142
2511.8864315095825,0.07692307692307693
3162.2776601683795,0.09090909090909091
3981.0717055349696,0.09996110462854921
5011.872336272725,0.1111111111111111
6309.57344480193,0.14282220591831743
7943.282347242822,0.1666351785376913
10000.,0.14271736091696952
