"Ltot","mII/mI"
100.,0.02857142857142857
125.89254117941661,0.044444444444444446
158.48931924611142,0.05
199.5262314968879,0.05263157894736842
251.1886431509582,0.058823529411764705
316.2277660168379,0.07692307692307693
398.1071705534969,0.08333333333333333
501.18723362727246,0.1
630.957344480193,0.1111111111111111
794.3282347242822,0.125
1000.,0.142578125
1258.9254117941662,0.16666666666666666
1584.8931924611143,0.16666666666666666
1995.2623149688789,0.2
2511.8864315095825,0.16666666666666666
3162.2776601683795,nan
3981.0717055349696,nan
5011.872336272725,nan
6309.57344480193,nan
7943.282347242822,nan
10000.,nan
