"Ltot","mII"
100.,24
125.89254117941661,31
158.48931924611142,39
199.5262314968879,49
251.1886431509582,50
316.2277660168379,63
398.1071705534969,79
501.18723362727246,100
630.957344480193,117
794.3282347242822,136
1000.,171
1258.9254117941662,216
1584.8931924611143,271
1995.2623149688789,342
2511.8864315095825,430
3162.2776601683795,544
3981.0717055349696,679
5011.872336272725,858
6309.57344480193,1021
7943.282347242822,1022
10000.,1021
