"Ltot","mII"
100.,24
125.89254117941661,31
158.48931924611142,29
199.5262314968879,36
251.1886431509582,45
316.2277660168379,52
398.1071705534969,66
501.18723362727246,77
630.957344480193,98
794.3282347242822,123
1000.,155
1258.9254117941662,195
1584.8931924611143,247
1995.2623149688789,310
2511.8864315095825,376
3162.2776601683795,474
3981.0717055349696,589
5011.872336272725,714
6309.57344480193,731
7943.282347242822,nan
10000.,nan
