"Ltot","SKR"
100.,18115.309814498196
125.89254117941661,18014.515962925594
158.48931924611142,17612.198900387044
199.5262314968879,17125.555231951246
251.1886431509582,16796.430026864055
316.2277660168379,16056.576085314944
398.1071705534969,15508.522698851493
501.18723362727246,14626.958051649288
630.957344480193,13711.44476125484
794.3282347242822,12593.691510010653
1000.,11227.486153089578
1258.9254117941662,9645.555447232782
1584.8931924611143,7751.048490048757
1995.2623149688789,5525.50668698168
2511.8864315095825,2016.7768897434828
3162.2776601683795,1.6580931574403956
3981.0717055349696,0.
5011.872336272725,0.
6309.57344480193,0.
7943.282347242822,0.
10000.,0.
